ClientId: 1013
Blu-Ray 1/2
Song 3/25
Textbook 6/2
Blu-Ray 10/18
Blu-Ray 3/17
Blu-Ray 4/9
Song 2/7
MovieRental 6/11
Song 1/15
Textbook 7/7
MovieRental 12/26
Shoes 9/20
Song 3/17
Shoes 4/23
Song 6/15
Song 11/1
Song 2/3
Phone 12/11
Shoes 4/6
Lamp 8/12
Blu-Ray 7/22
Textbook 5/19
Textbook 1/23
Blu-Ray 4/26
Lamp 7/17
Shoes 10/1
Lamp 4/22
Phone 12/6
Textbook 8/5
Lamp 5/20
Textbook 7/14
Lamp 12/8
Textbook 9/23
Lamp 11/7
Blu-Ray 11/15
MovieRental 7/22
Shoes 4/6
Shoes 5/20
Song 1/17
Blu-Ray 2/13
Shoes 11/14
Song 4/15
Blu-Ray 5/24
Phone 8/20
Song 10/10
Blu-Ray 7/15
Phone 2/26
Textbook 1/16
Song 3/12
Blu-Ray 5/9
Textbook 11/6
Textbook 1/19
Shoes 2/6
Blu-Ray 7/3
MovieRental 1/12
Lamp 12/2
Blu-Ray 5/7
Blu-Ray 1/1
Song 9/26
Song 12/16
Song 8/3
MovieRental 4/23
Lamp 12/18
Lamp 10/17
Blu-Ray 7/7
Lamp 8/15
Phone 2/26
MovieRental 12/12
Blu-Ray 5/10
Blu-Ray 11/13
